Level	Word	Pinyin1	Pinyin2	Translation
2	介绍	jiè shào	jie4 shao4	introduce
2	件	jiàn	jian4	item; [measure word for items of clothing]
2	休息	xiū xi	xiu1 xi5	to rest
2	但是	dàn shì	dan4 shi4	but
2	便宜	pián yi	pian2 yi5	cheap
2	公共汽车	gōng gòng qì chē	gong1 gong4 qi4 che1	bus
2	公司	gōng sī	gong1 si1	company; office
2	公斤	gōng jīn	gong1 jin1	kilogram
2	再	zài	zai4	again
2	最	zuì	zui4	most
2	准备	zhǔn bèi	zhun3 bei4	to prepare
2	出	chū	chu1	to go out
2	别	bié	bie2	separate
2	到	dào	dao4	to arrive; to get to
2	千	qiān	qian1	thousand
2	卖	mài	mai4	to sell
2	去年	qù nián	qu4 nian2	last year
2	可以	kě yǐ	ke3 yi3	can; may
2	可能	kě néng	ke3 neng2	perhaps; possibly
2	右边	yòu bian	you4 bian5	on the right
2	号	hào	hao4	number; day of a month
2	吧	ba	ba5	[makes a suggestion, eg. "Let's …")]
2	告诉	gào su	gao4 su5	to tell
2	咖啡	kā fēi	ka1 fei1	coffee
2	哥哥	gē ge	ge1 ge5	elder brother
2	唱歌	chàng gē	chang4 ge1	to sing; singing
2	回答	huí dá	hui2 da2	reply
2	因为	yīn wèi	yin1 wei4	because
2	圆	yuán	yuan2	round
2	外	wài	wai4	outside
2	大家	dà jiā	da4 jia1	everybody
2	女人	nǚ rén	nv3 ren2	woman
2	好吃	hǎo chī	hao3 chi1	delicious
2	妹妹	mèi mei	mei4 mei5	younger sister
2	妻子	qī zi	qi1 zi5	wife
2	姐姐	jiě jie	jie3 jie5	elder sister
2	姓	xìng	xing4	surname
2	孩子	hái zi	hai2 zi5	child; children
2	它	tā	ta1	it
2	完	wán	wan2	to finish; [+ verb indicates completion]
2	对	duì	dui4	correct; right
2	小时	xiǎo shí	xiao3 shi2	hour
2	就	jiù	jiu4	simply
2	左边	zuǒ bian	zuo3 bian5	on the left
2	已经	yǐ jīng	yi3 jing1	already
2	希望	xī wàng	xi1 wang4	hope; wish
2	帮助	bāng zhù	bang1 zhu4	to help
2	开始	kāi shǐ	kai1 shi3	to begin
2	弟弟	dì di	di4 di5	younger brother
2	张	zhāng	zhang1	to open up; to spread; [measure word for table, picture, paper etc]
2	得	dé	de2	gain; obtain; need to
2	忙	máng	mang2	busy
2	快	kuài	kuai4	fast; quick
2	快乐	kuài lè	kuai4 le4	happy
2	您	nín	nin2	you [polite form]
2	意思	yì si	yi4 si5	meaning
2	慢	màn	man4	slow
2	懂	dǒng	dong3	to understand
2	房间	fáng jiān	fang2 jian1	room
2	所以	suǒ yǐ	suo3 yi3	therefore
2	手机	shǒu jī	shou3 ji1	mobile phone
2	手表	shǒu biǎo	shou3 biao3	watch
