Level	Word	Pinyin1	Pinyin2	Translation
5	匆忙	cōng máng	cong1 mang2	hastily; in a hurry
5	化学	huà xué	hua4 xue2	chemistry
5	匹	pǐ	pi3	[measure word for horses and cloth]
5	升	shēng	sheng1	litre; to promote; to rise
5	华裔	huá yì	hua2 yi4	foreign citizen of Chinese origin
5	协调	xié tiáo	xie2 tiao2	coordinate; integrate; harmonize
5	单位	dān wèi	dan1 wei4	unit
5	单元	dān yuán	dan1 yuan2	unit; cell
5	单独	dān dú	dan1 du2	alone; by oneself; on one's own; single-handed
5	单纯	dān chún	dan1 chun2	simple; pure; alone
5	单调	dān diào	dan1 diao4	monotonous; dull; drab
5	博物馆	bó wù guǎn	bo2 wu4 guan3	museum
5	占线	zhàn xiàn	zhan4 xian4	busy line; engaged (line)
5	卡车	kǎ chē	ka3 che1	lorry; truck
5	卧室	wò shì	wo4 shi4	bedroom
5	卫生间	wèi shēng jiān	wei4 sheng1 jian1	toilet
5	危害	wēi hài	wei1 hai4	harm; detriment; damage
5	卷	juǎn	juan3	roll; examination paper
5	厕所	cè suǒ	ce4 suo3	toilets; lavatory
5	厘米	lí mǐ	li2 mi3	centimetre
5	原则	yuán zé	yuan2 ze2	principle
5	原料	yuán liào	yuan2 liao4	raw material; crude material
5	去世	qù shì	qu4 shi4	die; pass away
5	县	xiàn	xian4	county
5	参与	cān yù	can1 yu4	to take part; to participate in
5	参考	cān kǎo	can1 kao3	to consult; to refer to
5	叉子	chā zi	cha1 zi5	fork; prong
5	及格	jí gé	ji2 ge2	pass (a test, examination etc)
5	双方	shuāng fāng	shuang1 fang1	both sides; mutual
5	反复	fǎn fù	fan3 fu4	repeatedly; again and again; over and over
5	反应	fǎn yìng	fan3 ying4	reaction; response; repercussion
5	反正	fǎn zhèng	fan3 zheng4	anyway; anyhow; in any case
5	反而	fǎn ér	fan3 er2	on the contrary; instead
5	发愁	fā chóu	fa1 chou2	to worry; to be anxious; sullen
5	发抖	fā dǒu	fa1 dou3	to shiver; shake; tremble
5	发挥	fā huī	fa1 hui1	bring into play; give free rein to
5	发明	fā míng	fa1 ming2	invent; expound
5	发票	fā piào	fa1 piao4	bill; receipt
5	发表	fā biǎo	fa1 biao3	to issue; to publish; report
5	发言	fā yán	fa1 yan2	speak; make a statement; take the floor
5	发达	fā dá	fa1 da2	developed; advanced; prosperous
5	取消	qǔ xiāo	qu3 xiao1	cancel; call off; abolish
5	受伤	shòu shāng	shou4 shang1	be injured; be wounded
5	受到	shòu dào	shou4 dao4	receive
5	叙述	xù shù	xu4 shu4	narrate; recount; relate
5	口味	kǒu wèi	kou3 wei4	flavour/taste
5	古代	gǔ dài	gu3 dai4	ancient; archaic; antiquity
5	古典	gǔ diǎn	gu3 dian3	classical
5	古老	gǔ lǎo	gu3 lao3	ancient; antiquity; old-age
5	召开	zhào kāi	zhao4 kai1	convene
5	可怕	kě pà	ke3 pa4	frightening; dreadful
5	可见	kě jiàn	ke3 jian4	it is thus clear that; visible; visual
5	可靠	kě kào	ke3 kao4	reliable; dependable; trustworthy
5	台阶	tái jiē	tai2 jie1	step; altar; bench
5	吃亏	chī kuī	chi1 kui1	to suffer losses; come to grief; take a beating
5	合作	hé zuò	he2 zuo4	cooperate; collaborate; work together
5	合同	hé tong	he2 tong5	agreement; contract
5	合影	hé yǐng	he2 ying3	group photo
5	合法	hé fǎ	he2 fa3	legal; legitimate; rightful
5	合理	hé lǐ	he2 li3	rational; reasonable; equitable
5	同时	tóng shí	tong2 shi2	at the same time; simultaneously; concurrently
5	名片	míng piàn	ming2 pian4	business card; visiting card
5	名牌	míng pái	ming2 pai2	famous brand
5	名胜古迹	míng shèng gǔ jì	ming2 sheng4 gu3 ji4	places of historic interest and scenic beauty
5	后果	hòu guǒ	hou4 guo3	consequence; aftermath
5	吐	tù	tu4	vomit; throw up; cough up
5	吓	xià	xia4	threaten; intimidate; to scare
5	否定	fǒu dìng	fou3 ding4	to negate; to deny
5	否认	fǒu rèn	fou3 ren4	to deny; repudiate
5	吨	dūn	dun1	ton
5	启发	qǐ fā	qi3 fa1	inspire; illuminate; enlighten
5	吵架	chǎo jià	chao3 jia4	to quarrel; have a row
5	吸收	xī shōu	xi1 shou1	absorb; soak up; assimilate
5	吹	chuī	chui1	to blow; puff
5	吻	wěn	wen3	kiss
5	呆	dāi	dai1	slow-witted; stupid; to stay
5	告别	gào bié	gao4 bie2	bid farewell to; to say good-bye to
5	周到	zhōu dao	zhou1 dao5	attentive; considerate; thorough
5	呼吸	hū xī	hu1 xi1	to breathe; respire
5	命令	mìng lìng	ming4 ling4	order; command; directive
5	命运	mìng yùn	ming4 yun4	destiny; lot; fortune
5	和平	hé píng	he2 ping2	peace; mild
5	咨询	zī xún	zi1 xun2	seek advice from; consult
5	咬	yǎo	yao3	bite; snap at
5	品种	pǐn zhǒng	pin3 zhong3	breed; strain; variety
5	哈	hā	ha1	ha
5	哪怕	nǎ pà	na3 pa4	even if; even though
5	哲学	zhé xué	zhe2 xue2	philosophy
5	唉	ài	ai4	oh; ah; well
5	唯一	wéi yī	wei2 yi1	only; sole; unique
5	商业	shāng yè	shang1 ye4	commerce; trade; business
5	商品	shāng pǐn	shang1 pin3	goods; merchandise; wares
5	善于	shàn yú	shan4 yu2	be good at; be adept in
5	善良	shàn liáng	shan4 liang2	good and honest; kindhearted
5	喊	hǎn	han3	shout; cry out; yell
5	嗓子	sǎng zi	sang3 zi5	throat; larynx
5	嘉宾	jiā bīn	jia1 bin1	honoured guest
5	嘱咐	zhǔ fù	zhu3 fu4	enjoin; exhort; charge (with a task)
5	嚷	rǎng	rang3	to shout; blurt out; make a noise
5	因素	yīn sù	yin1 su4	factor; element
5	因而	yīn ér	yin1 er2	thus; as a result; with the result that
5	团	tuán	tuan2	dumpling; [something shaped like a ball]; [measure word for ball-like things]
5	围巾	wéi jīn	wei2 jin1	scarf; muffler; neckerchief
5	围绕	wéi rào	wei2 rao4	center on; revolve round
5	固体	gù tǐ	gu4 ti3	solid (object)
5	固定	gù dìng	gu4 ding4	fixed; fasten
5	国庆节	guó qìng jié	guo2 qing4 jie2	National Day
5	国籍	guó jí	guo2 ji2	nationality
5	圈	quān	quan1	circle; ring
5	土地	tǔ dì	tu3 di4	territory; local god of the land
5	土豆	tǔ dòu	tu3 dou4	potato
5	地位	dì wèi	di4 wei4	position; standing; status
5	地区	dì qū	di4 qu1	area; district; region
5	地毯	dì tǎn	di4 tan3	carpet; rug
5	地理	dì lǐ	di4 li3	geographical features of a place; geography
5	地震	dì zhèn	di4 zhen4	earthquake; tremour
5	均匀	jūn yún	jun1 yun2	even; well-distributed; equality
5	坚决	jiān jué	jian1 jue2	firm; resolute; determined
5	坚强	jiān qiáng	jian1 qiang2	strong; firm; staunch
5	坦率	tǎn shuài	tan3 shuai4	candid; frank; outspoken
5	培养	péi yǎng	pei2 yang3	train; foster
5	基本	jī běn	ji1 ben3	basic; fundamental
5	堆	duī	dui1	heap; pile; crowd
5	塔	tǎ	ta3	pagoda; tower; minaret
5	士兵	shì bīng	shi4 bing1	private; rank-and-file soldier
5	声调	shēng diào	sheng1 diao4	tone; pitch of voice
5	壶	hú	hu2	kettle; pot; flask
5	处理	chǔ lǐ	chu3 li3	to handle; deal with; manage
5	复制	fù zhì	fu4 zhi4	to duplicate; reproduce; copy
5	外交	wài jiāo	wai4 jiao1	diplomacy; foreign affairs
5	多亏	duō kuī	duo1 kui1	thanks to; owing to; fortunately
5	多余	duō yú	duo1 yu2	unnecessary; surplus; superfluous
5	夜	yè	ye4	night; night-time; evening
5	大型	dà xíng	da4 xing2	large-scale
5	大方	dà fang	da4 fang5	generous; liberal
5	大象	dà xiàng	da4 xiang4	elephant
5	天真	tiān zhēn	tian1 zhen1	innocent; naive
5	天空	tiān kōng	tian1 kong1	sky; the heavens
5	太太	tài tai	tai4 tai5	Mrs; Madam
5	太极拳	tài jí quán	tai4 ji2 quan2	taijiquan.[a kind of traditional Chinese shadow boxing]
5	失业	shī yè	shi1 ye4	lose one's job; be out of work; be unemployed
5	失去	shī qù	shi1 qu4	lose
5	失眠	shī mián	shi1 mian2	lose sleep; wakefulness; insomnia
5	夸	kuā	kua1	exaggerate; boast
5	夹子	jiā zi	jia1 zi5	folder; tongs; clamp; clip
5	奇迹	qí jì	qi2 ji4	miracle; wonder; marvel
5	奋斗	fèn dòu	fen4 dou4	struggle; to fight for; to strive for
5	套	tào	tao4	cover; case; set
5	女士	nǚ shì	nv3 shi4	lady; Madam; Miss
5	好奇	hào qí	hao4 qi2	curious
5	如今	rú jīn	ru2 jin1	nowadays; these days
5	如何	rú hé	ru2 he2	how
5	妇女	fù nǚ	fu4 nv3	woman
5	妨碍	fáng ài	fang2 ai4	to hinder; hamper; impede
5	始终	shǐ zhōng	shi3 zhong1	from beginning to end; from start to finish; throughout
5	姑姑	gū gu	gu1 gu5	aunt [father's sister]
5	姑娘	gū niang	gu1 niang5	girl
5	委屈	wěi qū	wei3 qu1	feel wronged; nurse a grievance
5	委托	wěi tuō	wei3 tuo1	entrust; authorize; bail
5	姥姥	lǎo lao	lao3 lao5	grandmother [mother's mother]
5	姿势	zī shì	zi1 shi4	posture; gesture
5	威胁	wēi xié	wei1 xie2	threaten; menace
5	娱乐	yú lè	yu2 le4	amusement; entertainment; recreation
5	娶	qǔ	qu3	marry [a woman]
5	婚姻	hūn yīn	hun1 yin1	marriage; matrimony
5	婚礼	hūn lǐ	hun1 li3	wedding
5	嫁	jià	jia4	marry; shift; transfer
5	嫩	nèn	nen4	tender; delicate; underdone
5	字幕	zì mù	zi4 mu4	captions; subtitles
5	存	cún	cun2	store; keep; survive
5	存在	cún zài	cun2 zai4	to exist; be
5	孙子	sūn zi	sun1 zi5	grandson [father's family]
5	学期	xué qī	xue2 qi1	school term; semester
5	学术	xué shù	xue2 shu4	learning; science
5	学问	xué wèn	xue2 wen4	learning; knowledge; scholarship
5	宁可	nìng kě	ning4 ke3	would rather; better
5	宇宙	yǔ zhòu	yu3 zhou4	universe; cosmos
5	安慰	ān wèi	an1 wei4	to comfort; console
5	安装	ān zhuāng	an1 zhuang1	to install; mount; erect
5	完善	wán shàn	wan2 shan4	perfect; to improve and perfect
5	完整	wán zhěng	wan2 zheng3	complete; integrated; whole
5	完美	wán měi	wan2 mei3	perfect; flawless
5	宗教	zōng jiào	zong1 jiao4	religion
5	官	guān	guan1	government official
5	宝贝	bǎo bèi	bao3 bei4	treasure; baby
5	宝贵	bǎo guì	bao3 gui4	valuable; precious
5	实习	shí xí	shi2 xi2	practice; fieldwork; internship
5	实现	shí xiàn	shi2 xian4	realise; achieve; bring about
5	实用	shí yòng	shi2 yong4	practical; pragmatic; functional
5	实行	shí xíng	shi2 xing2	put into practice; carry out; implement
5	实话	shí huà	shi2 hua4	truth
5	实践	shí jiàn	shi2 jian4	put into practice; carry out
5	实验	shí yàn	shi2 yan4	experiment; test; trial run
5	宠物	chǒng wù	chong3 wu4	pet
5	客厅	kè tīng	ke4 ting1	living room
5	客观	kè guān	ke4 guan1	objective
5	宣传	xuān chuán	xuan1 chuan2	propagate; disseminate; give publicity to
5	宣布	xuān bù	xuan1 bu4	declare; proclaim; announce
5	宴会	yàn huì	yan4 hui4	banquet; feast; dinner party
5	家务	jiā wù	jia1 wu4	house work
5	家乡	jiā xiāng	jia1 xiang1	home town;native place
5	家庭	jiā tíng	jia1 ting2	family; household
5	宿舍	sù shè	su4 she4	dormitory; digs
5	寂寞	jì mò	ji4 mo4	lonely; lonesome
5	密切	mì qiè	mi4 qie4	close; intimate; carefully
5	对于	duì yú	dui4 yu2	about; with regard to
5	对待	duì dài	dui4 dai4	to treat; handle; be in a position related to another
5	对手	duì shǒu	dui4 shou3	opponent; adversary; rival
5	对方	duì fāng	dui4 fang1	counterpart; the other party
5	对比	duì bǐ	dui4 bi3	contrast; comparison; ratio
5	对象	duì xiàng	dui4 xiang4	target; object; partner
5	寺庙	sì miào	si4 miao4	temple
5	寻找	xún zhǎo	xun2 zhao3	seek; look for; search
5	导演	dǎo yǎn	dao3 yan3	director
5	导致	dǎo zhì	dao3 zhi4	to cause; lead to; result in
5	寿命	shòu mìng	shou4 ming4	life span; lifetime
5	射击	shè jī	she4 ji1	shoot; fire
5	尊敬	zūn jìng	zun1 jing4	respect; honour; esteem
5	小伙子	xiǎo huǒ zi	xiao3 huo3 zi5	youngster; lad
5	小偷	xiǎo tōu	xiao3 tou1	thief
5	小吃	xiǎo chī	xiao3 chi1	snack
5	小麦	xiǎo mài	xiao3 mai4	wheat
5	尖锐	jiān ruì	jian1 rui4	acute; penetrating; incisive
5	尺子	chǐ zi	chi3 zi5	ruler
5	尽力	jìn lì	jin4 li4	to do all one can; try one's best
5	尽量	jìn liàng	jin4 liang4	to the best of one's ability; as far as possible; to the best of one's ability; as far as possible
5	尾巴	wěi ba	wei3 ba5	tail; appendage
5	居然	jū rán	ju1 ran2	unexpectedly; to one's surprise
5	届	jiè	jie4	fall due; [measure word for meetings, events, etc.]
5	屋子	wū zi	wu1 zi5	room
5	展开	zhǎn kāi	zhan3 kai1	develop; spread; unfold
5	展览	zhǎn lǎn	zhan3 lan3	put on display; exhibit; show
5	属于	shǔ yú	shu3 yu2	belong to; be part of; pertain to
5	岛	dǎo	dao3	island
5	岸	àn	an4	shore; coast; bank;
5	工业	gōng yè	gong1 ye4	industry
5	工人	gōng rén	gong1 ren2	(manual) worker; labourer
5	工厂	gōng chǎng	gong1 chang3	factory; plant; works
5	工程师	gōng chéng shī	gong1 cheng2 shi1	engineer
5	巧妙	qiǎo miào	qiao3 miao4	ingenious; clever
5	巨大	jù dà	ju4 da4	huge; enormous; gigantic
5	差别	chā bié	cha1 bie2	difference
5	布	bù	bu4	cloth; textile; proclaim
5	常识	cháng shí	chang2 shi2	general knowledge
5	幅	fú	fu2	width of cloth; [measure word (for paintings, pictures, textiles etc.)]
5	干	gàn	gan4	trunk; main part; do; work
5	干活儿	gàn huó er	gan4 huo2 er5	to work [often manual] on a job
5	干脆	gān cuì	gan1 cui4	clear-cut; straightforward; frank
5	平	píng	ping2	flat; level; even; equal
5	平均	píng jūn	ping2 jun1	average; mean; equally
5	平常	píng cháng	ping2 chang2	ordinarily; generally; usually
5	平方	píng fāng	ping2 fang1	square
5	平等	píng děng	ping2 deng3	equal; equality
5	平衡	píng héng	ping2 heng2	balance; equilibrium
5	平静	píng jìng	ping2 jing4	calm; quiet; tranquil
5	年代	nián dài	nian2 dai4	years; a decade of a century
5	年纪	nián jì	nian2 ji4	age
5	幸亏	xìng kuī	xing4 kui1	fortunately; luckily
5	幸运	xìng yùn	xing4 yun4	good fortune; good luck
5	幻想	huàn xiǎng	huan4 xiang3	illusion; fantasy; figment of one's imagination
5	幼儿园	yòu ér yuán	you4 er2 yuan2	kindergarten; nursery school
5	广场	guǎng chǎng	guang3 chang3	(public) square
5	广大	guǎng dà	guang3 da4	vast; wide; extensive
5	广泛	guǎng fàn	guang3 fan4	extensive; wide-ranging
5	庆祝	qìng zhù	qing4 zhu4	celebration(s); to celebrate
5	应付	yìng fu	ying4 fu5	deal with; cope with; handle
5	应用	yìng yòng	ying4 yong4	use; app; application
5	应聘	yìng pìn	ying4 pin4	accept an offer of employment
5	废话	fèi huà	fei4 hua4	superfluous words; nonsense; rubbish
5	度过	dù guò	du4 guo4	spend; pass
5	延长	yán cháng	yan2 chang2	lengthen; extend; prolong
5	建立	jiàn lì	jian4 li4	build; set up; establish
5	建筑	jiàn zhù	jian4 zhu4	build; construct; erect
5	建议	jiàn yì	jian4 yi4	to propose; suggest; recommend
5	建设	jiàn shè	jian4 she4	to build; to construct; develop
5	开发	kāi fā	kai1 fa1	develop; open up; exploit
5	开幕式	kāi mù shì	kai1 mu4 shi4	inauguration; opening ceremony
5	开心	kāi xīn	kai1 xin1	pleased; happy
5	开放	kāi fàng	kai1 fang4	lift a restriction; open up (to the outside world/ public etc.)
5	弯	wān	wan1	curved; bent; crooked
5	弱	ruò	ruo4	weak; feeble
5	强烈	qiáng liè	qiang2 lie4	strong; intense; violent
5	强调	qiáng diào	qiang2 diao4	stress; emphasize; underline
5	当代	dāng dài	dang1 dai4	the present age; the contemporary era
5	录取	lù qǔ	lu4 qu3	enroll; recruit; admit to
5	录音	lù yīn	lu4 yin1	sound recording; film recording
5	形势	xíng shì	xing2 shi4	terrain; topographical features; circumstances
5	形容	xíng róng	xing2 rong2	appearance; countenance
5	形式	xíng shì	xing2 shi4	form; shape; layout
5	形成	xíng chéng	xing2 cheng2	form; shape
5	形状	xíng zhuàng	xing2 zhuang4	form; appearance; fashion
5	形象	xíng xiàng	xing2 xiang4	image; figure; vivid
5	彩虹	cǎi hóng	cai3 hong2	rainbow
5	影子	yǐng zi	ying3 zi5	shadow; reflection; trace
5	彻底	chè dǐ	che4 di3	thorough
5	彼此	bǐ cǐ	bi3 ci3	each other; both parties; one another
5	往返	wǎng fǎn	wang3 fan3	go there and back; come and go
5	征求	zhēng qiú	zheng1 qiu2	solicit; seek; ask for
5	待遇	dài yù	dai4 yu4	treatment
5	微笑	wēi xiào	wei1 xiao4	smile
5	心理	xīn lǐ	xin1 li3	psychology; mentality; mind
5	心脏	xīn zàng	xin1 zang4	heart
5	必然	bì rán	bi4 ran2	inevitable; certain; necessarily
5	必要	bì yào	bi4 yao4	requisite; necessary; essential
5	必需	bì xū	bi4 xu1	essential; indispensable; vital need
5	忍不住	rěn bu zhù	ren3 bu5 zhu4	unbearable; unable to restrain
5	志愿者	zhì yuàn zhě	zhi4 yuan4 zhe3	volunteer
5	念	niàn	nian4	to read aloud; attend school; think of
5	忽视	hū shì	hu1 shi4	ignore; look down upon; overlook
5	怀念	huái niàn	huai2 nian4	cherish the memory of; remember fondly
5	思想	sī xiǎng	si1 xiang3	thought; idea
5	思考	sī kǎo	si1 kao3	ponder; reflect on; deliberate
5	急忙	jí máng	ji2 mang2	in a hurry; in haste
5	性质	xìng zhì	xing4 zhi4	properties; quality; nature
5	怪不得	guài bu de	guai4 bu5 de5	no wonder; so that's why
5	总之	zǒng zhī	zong3 zhi1	in a word; in short; in brief
5	总共	zǒng gòng	zong3 gong4	in all; altogether
5	总理	zǒng lǐ	zong3 li3	prime minister
5	总算	zǒng suàn	zong3 suan4	at long last; finally
5	总统	zǒng tǒng	zong3 tong3	president
5	总裁	zǒng cái	zong3 cai2	president; director general
5	恋爱	liàn ài	lian4 ai4	love
5	恐怖	kǒng bù	kong3 bu4	terrifying; horrible; dreadful
5	恢复	huī fù	hui1 fu4	resume; renew; to recover
5	恨	hèn	hen4	hate; regret
5	恶劣	è liè	e4 lie4	odious; vile; disgusting
5	悄悄	qiāo qiāo	qiao1 qiao1	quietly; whisper; on the quiet
5	悠久	yōu jiǔ	you1 jiu3	long-standing; age-old
5	悲观	bēi guān	bei1 guan1	pessimistic
5	情景	qíng jǐng	qing2 jing3	scene; sight; circumstances
5	情绪	qíng xù	qing2 xu4	mood; sentiments; feeling
5	惭愧	cán kuì	can2 kui4	ashamed
5	想念	xiǎng niàn	xiang3 nian4	long to see again; miss
5	想象	xiǎng xiàng	xiang3 xiang4	imagine; think; visualize
5	意义	yì yì	yi4 yi4	meaning; sense; significance
5	意外	yì wài	yi4 wai4	unexpected; unforeseen
5	感受	gǎn shòu	gan3 shou4	be affected by; feeling; perception
5	感想	gǎn xiǎng	gan3 xiang3	impression; reflection; thought
5	感激	gǎn jī	gan3 ji1	to feel grateful; be thankful
5	愤怒	fèn nù	fen4 nu4	indignation; anger; rage
5	愿望	yuàn wàng	yuan4 wang4	desire; wish; aspiration
5	慌张	huāng zhāng	huang1 zhang1	flustered; confused; trepidation
5	戏剧	xì jù	xi4 ju4	play; theatre; script
5	成分	chéng fèn	cheng2 fen4	composition; component part; ingredient
5	成就	chéng jiù	cheng2 jiu4	achievement; accomplishment; attainment
5	成果	chéng guǒ	cheng2 guo3	achievement; gain; positive result
5	成立	chéng lì	cheng2 li4	found; to establish; set up
5	成语	chéng yǔ	cheng2 yu3	set phrase; idiom; proverb
5	成长	chéng zhǎng	cheng2 zhang3	to grow up
5	戒指	jiè zhi	jie4 zhi5	ring [jewellry]
5	戒烟	jiè yān	jie4 yan1	to give up smoking
5	战争	zhàn zhēng	zhan4 zheng1	war; warfare
5	房东	fáng dōng	fang2 dong1	landlord/landlady
5	所	suǒ	suo3	[2nd syllable of many places]; [measure word for houses, buildings, institutions]
5	所谓	suǒ wèi	suo3 wei4	what is called
5	手套	shǒu tào	shou3 tao4	gloves
5	手工	shǒu gōng	shou3 gong1	by hand; manual; handmade
5	手指	shǒu zhǐ	shou3 zhi3	finger
5	手术	shǒu shù	shou3 shu4	surgical operation; operation
5	手续	shǒu xù	shou3 xu4	procedures; routine; process
5	打交道	dǎ jiāo dào	da3 jiao1 dao4	make contact with; have dealings with
5	打听	dǎ ting	da3 ting5	to ask about; inquire about
5	打喷嚏	dǎ pēn tì	da3 pen1 ti4	to sneeze
5	打工	dǎ gōng	da3 gong1	do manual work
5	打招呼	dǎ zhāo hu	da3 zhao1 hu5	greet somebody
5	执照	zhí zhào	zhi2 zhao4	license; permit
5	执行	zhí xíng	zhi2 xing2	carry out; execute; implement
5	扶	fú	fu2	hold up; support with the hand; to  help somebody up
5	批	pī	pi1	to criticize; refute; batch
5	批准	pī zhǔn	pi1 zhun3	ratify; approve; authorise
5	承受	chéng shòu	cheng2 shou4	to bear; support; to endure; inherit
5	承担	chéng dān	cheng2 dan1	bear; to undertake; assume
5	承认	chéng rèn	cheng2 ren4	to admit; to acknowledge; to recognise
5	抄	chāo	chao1	to copy; transcribe; plagiarise
5	把握	bǎ wò	ba3 wo4	to grasp; to hold; seize
5	抓紧	zhuā jǐn	zhua1 jin3	firmly grasp; pay close attention to
5	投资	tóu zī	tou2 zi1	invest
5	抗议	kàng yì	kang4 yi4	to protest; object; remonstrate
5	抢	qiǎng	qiang3	knock; grab; rob
5	报告	bào gào	bao4 gao4	report; make known; inform
5	披	pī	pi1	to drape over one's shoulders; to wrap around; unroll
5	抽屉	chōu ti	chou1 ti5	drawer
5	抽象	chōu xiàng	chou1 xiang4	abstract
5	担任	dān rèn	dan1 ren4	assume the office of; to hold the post of
5	拆	chāi	chai1	to tear open; take apart; pull down
5	拍	pāi	pai1	to clap; slap; bat; racket; to take (a photo)
5	拐弯	guǎi wān	guai3 wan1	to turn a corner; turn round; pursue a new course
5	招待	zhāo dài	zhao1 dai4	receive; entertain; serve
5	拥抱	yōng bào	yong1 bao4	embrace; hug
5	拥挤	yōng jǐ	yong1 ji3	crowd; push and squeeze
5	拦	lán	lan2	bar; block; hinder
5	持续	chí xù	chi2 xu4	last; continue; sustain
5	挂号	guà hào	gua4 hao4	register; send by registered mail
5	指导	zhǐ dǎo	zhi3 dao3	guide; direct; conduct
5	指挥	zhǐ huī	zhi3 hui1	command; direct; conduct
5	挑战	tiǎo zhàn	tiao3 zhan4	throw down the gauntlet; challenge
5	挡	dǎng	dang3	to block; hinder; resist
5	挣钱	zhèng qián	zheng4 qian2	earn money; make money
5	挥	huī	hui1	wave; wield; wipe off
5	振动	zhèn dòng	zhen4 dong4	vibrate; vibrant
5	捐	juān	juan1	relinquish; contribute; donate
5	损失	sǔn shī	sun3 shi1	lose; loss; wastage
5	捡	jiǎn	jian3	to pick up; collect; to gather
5	据说	jù shuō	ju4 shuo1	it is said; they say; allegedly
5	掌握	zhǎng wò	zhang3 wo4	grasp; master; know well
5	排球	pái qiú	pai2 qiu2	volleyball
5	排队	pái duì	pai2 dui4	queue up; line up
5	接待	jiē dài	jie1 dai4	to receive (visitor); admit
5	接着	jiē zhe	jie1 zhe5	to catch; to carry on
5	接触	jiē chù	jie1 chu4	come into contact with; to get in touch with; engage
5	接近	jiē jìn	jie1 jin4	be close to; to approach
5	控制	kòng zhì	kong4 zhi4	control; regulate
5	推广	tuī guǎng	tui1 guang3	popularise; spread; generalisation
5	推荐	tuī jiàn	tui1 jian4	recommend
5	推辞	tuī cí	tui1 ci2	decline
5	措施	cuò shī	cuo4 shi1	measure; step
5	描写	miáo xiě	miao2 xie3	describe; depict; portray
5	提	tí	ti2	to carry
5	提倡	tí chàng	ti2 chang4	advocate; promote; recommend
5	提纲	tí gāng	ti2 gang1	outline; syllabus; synopsis
5	提问	tí wèn	ti2 wen4	ask a question; put questions to; quiz
5	插	chā	cha1	stick in; to insert; interpose
5	搞	gǎo	gao3	to make/do; carry on; be engaged in
5	摄影	shè yǐng	she4 ying3	take a photograph; shoot a film
5	摆	bǎi	bai3	to arrange; set in order; pendulum; lower hem (of a gown/jacket/skirt)
5	摇	yáo	yao2	shake; wave; rock; turn
5	摔	shuāi	shuai1	to throw down; tumble; lose one's balance
5	摘	zhāi	zhai1	pick; pluck; strip
5	摩托车	mó tuō chē	mo2 tuo1 che1	motorcycle
5	摸	mō	mo1	feel [with the hand]
5	撕	sī	si1	tear; rip
5	操场	cāo chǎng	cao1 chang3	playground; sports ground; drill ground
5	操心	cāo xīn	cao1 xin1	to worry about; to take pains over; be concerned over
5	支	zhī	zhi1	branch; the twelve Earthly Branches
5	支票	zhī piào	zhi1 piao4	check/cheque
5	收据	shōu jù	shou1 ju4	receipt; acquittance
5	收获	shōu huò	shou1 huo4	gather in the crops; harvest; reap
5	改善	gǎi shàn	gai3 shan4	to improve
5	改正	gǎi zhèng	gai3 zheng4	to correct; to amend; put right
5	改进	gǎi jìn	gai3 jin4	to improve; make better; mend
5	改革	gǎi gé	gai3 ge2	reform
5	放松	fàng sōng	fang4 song1	to relax; slacken; loosen
5	政府	zhèng fǔ	zheng4 fu3	government
5	政治	zhèng zhì	zheng4 zhi4	politics; political affairs
5	政策	zhèng cè	zheng4 ce4	policy
5	故事	gù shi	gu4 shi5	story; tale; plot
5	效率	xiào lǜ	xiao4 lv4	efficiency; productivity
5	敌人	dí rén	di2 ren2	enemy; foe
5	救	jiù	jiu4	to rescue; save
5	救护车	jiù hù chē	jiu4 hu4 che1	ambulance
5	教材	jiào cái	jiao4 cai2	teaching material
5	教练	jiào liàn	jiao4 lian4	train; drill; (sports) coach
5	教训	jiào xun	jiao4 xun5	lesson; moral
5	敬爱	jìng ài	jing4 ai4	respect and love; esteem
5	数据	shù jù	shu4 ju4	data
5	数码	shù mǎ	shu4 ma3	numerical code; digit; figure
5	整个	zhěng gè	zheng3 ge4	whole; total; entire
5	整体	zhěng tǐ	zheng3 ti3	ensemble; whole; entirety
5	文件	wén jiàn	wen2 jian4	file; document
5	文具	wén jù	wen2 ju4	stationery; writing materials
5	文学	wén xué	wen2 xue2	literature
5	文明	wén míng	wen2 ming2	civilisation; culture; civilised
5	斜	xié	xie2	oblique; slanting; bevel
5	方	fāng	fang1	square; honest; just now
5	方式	fāng shì	fang1 shi4	way; fashion; pattern
5	方案	fāng àn	fang1 an4	scheme; plan; programme
5	无奈	wú nài	wu2 nai4	cannot help but; have no alternative; have no choice
5	无数	wú shù	wu2 shu4	innumerable; countless; myriad
5	日历	rì lì	ri4 li4	calendar
5	日常	rì cháng	ri4 chang2	day-to-day; everyday; usual
5	日期	rì qī	ri4 qi1	date
5	日用品	rì yòng pǐn	ri4 yong4 pin3	articles for everyday use
5	日程	rì chéng	ri4 cheng2	programme; schedule; agenda for the day
5	时代	shí dài	shi2 dai4	times; age; era
5	时刻	shí kè	shi2 ke4	time; hour; moment
5	时尚	shí shàng	shi2 shang4	vogue; trend; fashion
5	时期	shí qī	shi2 qi1	period
5	时髦	shí máo	shi2 mao2	fashionable; stylish; in vogue
5	明信片	míng xìn piàn	ming2 xin4 pian4	postcard
5	明星	míng xīng	ming2 xing1	celebrity; star
5	明显	míng xiǎn	ming2 xian3	clear; obvious; evident
5	明确	míng què	ming2 que4	clear and definite; clear-cut; unequivocal
